25.000,8190,1.56,30205,30205
25.159,6990,1.45,07096,07196
25.400,6990,1.45,07100,07196
25.400,6990,1.45,07100-S,07196
25.400,6990,1.45,07100,07204
25.400,7210,1.56,L44642,L44610
25.400,7210,1.56,L44643,L44610
26.988,7210,-3.3,L44649,L44610
25.000,9520,1,32205-B,32205-B
25.400,10900,1.9,1780,1719
25.400,11000,1.69,15578,15523
26.988,11000,1.69,15580,15523
28.575,11000,1.69,15590,15520
28.575,11000,1.69,15590,15523
25.400,11600,1.77,1986,1932
26.975,11600,1.77,1987,1932
28.575,11600,1.77,1985,1930
28.575,11600,1.77,1985,1932
28.575,11600,1.77,1988,1932
28.575,11600,1.77,1985,1931
25.400,11700,1.07,M184548,M84510
25.400,12100,1.67,15101,15243
25.400,12100,1.67,15100,15245
25.400,12100,1.67,15101,15245
25.400,12100,1.67,15102,15245
25.400,12100,1.67,15101,15244
25.400,12100,1.67,15101,15250
25.400,12100,1.67,15101,15250X
26.157,12100,1.67,15103,15245
26.988,12100,1.67,15106,15245
25.000,13000,1.95,30305,30305
25.400,13100,0.8,23100,23256
25.000,13200,1.66,33205,33205
25.400,13900,1.07,M84249,M84210
25.400,14500,1.07,M86643,M86610
25.400,15300,Jan 00,02473,02420
25.000,17400,1.95,32305,32305
25.400,18400,2.3,02687,02631
25.400,18400,1.07,HM88630,HM88610
26.162,18400,2.3,2682,2630
26.162,18400,2.3,2682,2631
26.988,18400,2.3,2688,2631
25.400,22700,1.76,3189,3120
